invoice_id,msme_company,buyer_name,buyer_sector,invoice_date,due_date,paid_date,invoice_amount,payment_delay_days,is_paid,monthly_fixed_cost,cash_reserves,avg_monthly_revenue,buyer_risk_level,post_legal_notice
INV-2024-00122,Ayesha Plastics,National Packaging House,Packaging,2024-03-31,2024-04-30,2024-06-08,79089,39,1,326225,2155144,1076778,low,0
INV-2024-00123,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-06-19,2024-07-19,2024-09-07,82989,50,1,326225,2155144,1076778,medium,0
INV-2024-00124,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-12-08,2025-01-07,2025-02-23,138627,47,1,326225,2155144,1076778,high,1
INV-2024-00125,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-05-16,2024-06-15,2024-09-05,215618,82,1,326225,2155144,1076778,high,0
INV-2024-00126,Ayesha Plastics,National Packaging House,Packaging,2024-07-14,2024-08-13,2024-09-22,47304,40,1,326225,2155144,1076778,low,0
INV-2024-00127,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-04-23,2024-05-23,2024-08-24,229886,93,1,326225,2155144,1076778,high,0
INV-2024-00128,Ayesha Plastics,Shree Retail Distributors,Retail,2024-06-28,2024-07-28,2024-09-03,49612,37,1,326225,2155144,1076778,medium,0
INV-2024-00129,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-04-26,2024-05-26,2024-07-27,195676,62,1,326225,2155144,1076778,high,0
INV-2024-00130,Ayesha Plastics,Shree Retail Distributors,Retail,2024-07-23,2024-08-22,2024-10-10,88876,49,1,326225,2155144,1076778,medium,0
INV-2024-00131,Ayesha Plastics,Shree Retail Distributors,Retail,2024-05-22,2024-06-21,2024-08-01,61461,41,1,326225,2155144,1076778,medium,0
INV-2024-00132,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-12-13,2025-01-12,2025-02-22,15000,41,1,326225,2155144,1076778,high,1
INV-2024-00133,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-01-15,2024-02-14,2024-04-06,134897,52,1,326225,2155144,1076778,high,0
INV-2024-00134,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-04-01,2024-05-01,2024-05-17,84486,16,1,326225,2155144,1076778,low,0
INV-2024-00135,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-01-20,2024-02-19,2024-05-06,127398,77,1,326225,2155144,1076778,high,0
INV-2024-00136,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-06-09,2024-07-09,2024-08-21,247063,43,1,326225,2155144,1076778,high,0
INV-2024-00137,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-02-29,2024-03-30,2024-06-03,233158,65,1,326225,2155144,1076778,high,0
INV-2024-00138,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-05-10,2024-06-09,2024-08-31,105739,83,1,326225,2155144,1076778,high,0
INV-2024-00139,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-09-23,2024-10-23,2024-12-10,168957,48,1,326225,2155144,1076778,high,1
INV-2024-00140,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-12-09,2025-01-08,2025-03-08,178490,59,1,326225,2155144,1076778,high,1
INV-2024-00141,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-12-06,2025-01-05,2025-03-14,165108,68,1,326225,2155144,1076778,high,1
INV-2024-00142,Ayesha Plastics,National Packaging House,Packaging,2024-12-05,2025-01-04,2025-01-24,98548,20,1,326225,2155144,1076778,low,1
INV-2024-00143,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-06-02,2024-07-02,2024-07-14,91995,12,1,326225,2155144,1076778,low,0
INV-2024-00144,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-06-16,2024-07-16,2024-09-27,167410,73,1,326225,2155144,1076778,high,0
INV-2024-00145,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-03-06,2024-04-05,2024-06-07,156239,63,1,326225,2155144,1076778,high,0
INV-2024-00146,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-07-13,2024-08-12,2024-09-13,89796,32,1,326225,2155144,1076778,medium,0
INV-2024-00147,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-11-11,2024-12-11,2025-01-28,80265,48,1,326225,2155144,1076778,medium,1
INV-2024-00148,Ayesha Plastics,Shree Retail Distributors,Retail,2024-01-01,2024-01-31,2024-03-06,87140,35,1,326225,2155144,1076778,medium,0
INV-2024-00149,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-10-23,2024-11-22,2025-01-20,156485,59,1,326225,2155144,1076778,medium,1
INV-2024-00150,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-08-14,2024-09-13,2024-11-26,215643,74,1,326225,2155144,1076778,high,0
INV-2024-00151,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-08-30,2024-09-29,2024-11-15,95985,47,1,326225,2155144,1076778,medium,0
INV-2024-00152,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-03-27,2024-04-26,2024-06-10,113682,45,1,326225,2155144,1076778,medium,0
INV-2024-00153,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-12-05,2025-01-04,2025-03-01,124268,56,1,326225,2155144,1076778,medium,1
INV-2024-00154,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-04-30,2024-05-30,2024-06-29,126941,30,1,326225,2155144,1076778,medium,0
INV-2024-00155,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-04-11,2024-05-11,,166883,180,0,326225,2155144,1076778,high,0
INV-2024-00156,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-08-31,2024-09-30,2024-11-20,89557,51,1,326225,2155144,1076778,medium,0
INV-2024-00157,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-08-21,2024-09-20,2024-12-06,216270,77,1,326225,2155144,1076778,high,0
INV-2024-00158,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-04-09,2024-05-09,2024-07-03,170691,55,1,326225,2155144,1076778,medium,0
INV-2024-00159,Ayesha Plastics,Apex Manufacturing Pvt Ltd,Manufacturing,2024-07-23,2024-08-22,2024-10-30,172278,69,1,326225,2155144,1076778,high,0
INV-2024-00160,Ayesha Plastics,National Packaging House,Packaging,2024-01-03,2024-02-02,2024-03-03,75834,30,1,326225,2155144,1076778,low,0
INV-2024-00161,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-02-24,2024-03-25,2024-05-27,128394,63,1,326225,2155144,1076778,medium,0
INV-2024-00162,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-12-22,2025-01-21,2025-03-25,74544,63,1,326225,2155144,1076778,medium,1
INV-2024-00163,Ayesha Plastics,Urban Build Projects Ltd,Construction,2024-05-07,2024-06-06,2024-07-14,114729,38,1,326225,2155144,1076778,high,0
INV-2024-00164,Ayesha Plastics,National Packaging House,Packaging,2024-03-09,2024-04-08,2024-05-17,90845,39,1,326225,2155144,1076778,low,0
INV-2024-00165,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-10-13,2024-11-12,2024-12-27,110602,45,1,326225,2155144,1076778,medium,1
INV-2024-00166,Ayesha Plastics,Zenith Pharma Supplies,Pharma,2024-08-14,2024-09-13,2024-10-10,94693,27,1,326225,2155144,1076778,medium,0
INV-2024-00167,Ayesha Plastics,Bright Foods Trading Co,FMCG,2024-09-15,2024-10-15,2024-11-06,61137,22,1,326225,2155144,1076778,low,1
INV-2024-00168,Ayesha Plastics,National Packaging House,Packaging,2024-08-16,2024-09-15,2024-10-15,87552,30,1,326225,2155144,1076778,low,0
INV-2024-00169,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-08-31,2024-09-30,2024-11-29,133725,60,1,326225,2155144,1076778,high,0
INV-2024-00170,Ayesha Plastics,Metro Infra Suppliers,Infrastructure,2024-11-22,2024-12-22,2025-02-16,195646,56,1,326225,2155144,1076778,high,1
INV-2024-00171,Ayesha Plastics,Kaveri Engineering Works,Engineering,2024-09-05,2024-10-05,2024-12-02,96222,58,1,326225,2155144,1076778,medium,1
